Sex,Industry of Employment,Region,Value
Females,"Transport, Postal and Warehousing",Essendon - Aberfeldie,267
Males,Information Media and Telecommunications,Essendon - Aberfeldie,216
Females,Information Media and Telecommunications,Essendon - Aberfeldie,133
Males,Financial and Insurance Services,Essendon - Aberfeldie,458
Females,Financial and Insurance Services,Essendon - Aberfeldie,413
Males,"Rental, Hiring and Real Estate Services",Essendon - Aberfeldie,148
Females,"Rental, Hiring and Real Estate Services",Essendon - Aberfeldie,121
Males,"Professional, Scientific and Technical Services",Essendon - Aberfeldie,850
Females,"Professional, Scientific and Technical Services",Essendon - Aberfeldie,719
Males,Administrative and Support Services,Essendon - Aberfeldie,211
Females,Administrative and Support Services,Essendon - Aberfeldie,235
Males,Public Administration and Safety,Essendon - Aberfeldie,484
Females,Public Administration and Safety,Essendon - Aberfeldie,466
Males,Education and Training,Essendon - Aberfeldie,394
Females,Education and Training,Essendon - Aberfeldie,1145
Males,Health Care and Social Assistance,Essendon - Aberfeldie,386
Females,Health Care and Social Assistance,Essendon - Aberfeldie,1245
Males,Arts and Recreation Services,Essendon - Aberfeldie,222
Females,Arts and Recreation Services,Essendon - Aberfeldie,161
Males,Other Services,Essendon - Aberfeldie,204
Females,Other Services,Essendon - Aberfeldie,202
Males,Inadequately described and not stated,Essendon - Aberfeldie,304
Females,Inadequately described and not stated,Essendon - Aberfeldie,242
Males,"Agriculture, Forestry and Fishing",Flemington,8
Females,"Agriculture, Forestry and Fishing",Flemington,6
Males,Mining,Flemington,8
Females,Mining,Flemington,3
Males,Manufacturing,Flemington,120
Females,Manufacturing,Flemington,60
Males,"Electricity, Gas, Water and Waste Services",Flemington,34
Females,"Electricity, Gas, Water and Waste Services",Flemington,18
Males,Construction,Flemington,114
Females,Construction,Flemington,31
Males,Wholesale Trade,Flemington,60
Females,Wholesale Trade,Flemington,33
Males,Retail Trade,Flemington,169
Females,Retail Trade,Flemington,201
Males,Accommodation and Food Services,Flemington,184
Females,Accommodation and Food Services,Flemington,221
Males,"Transport, Postal and Warehousing",Flemington,146
Females,"Transport, Postal and Warehousing",Flemington,35
Males,Information Media and Telecommunications,Flemington,92
Females,Information Media and Telecommunications,Flemington,61
Males,Financial and Insurance Services,Flemington,151
Females,Financial and Insurance Services,Flemington,104
Males,"Rental, Hiring and Real Estate Services",Flemington,42
Females,"Rental, Hiring and Real Estate Services",Flemington,30
Males,"Professional, Scientific and Technical Services",Flemington,331
Females,"Professional, Scientific and Technical Services",Flemington,306
Males,Administrative and Support Services,Flemington,89
Females,Administrative and Support Services,Flemington,85
Males,Public Administration and Safety,Flemington,137
Females,Public Administration and Safety,Flemington,148
Males,Education and Training,Flemington,209
Females,Education and Training,Flemington,318
Males,Health Care and Social Assistance,Flemington,140
Females,Health Care and Social Assistance,Flemington,444
Males,Arts and Recreation Services,Flemington,84
Females,Arts and Recreation Services,Flemington,76
Males,Other Services,Flemington,49
Females,Other Services,Flemington,69
Males,Inadequately described and not stated,Flemington,110
Females,Inadequately described and not stated,Flemington,100
Males,"Agriculture, Forestry and Fishing",Moonee Ponds,20
Females,"Agriculture, Forestry and Fishing",Moonee Ponds,7
Males,Mining,Moonee Ponds,14
Females,Mining,Moonee Ponds,7
Males,Manufacturing,Moonee Ponds,253
Females,Manufacturing,Moonee Ponds,128
Males,"Electricity, Gas, Water and Waste Services",Moonee Ponds,59
Females,"Electricity, Gas, Water and Waste Services",Moonee Ponds,26
Males,Construction,Moonee Ponds,415
Females,Construction,Moonee Ponds,77
Males,Wholesale Trade,Moonee Ponds,124
Females,Wholesale Trade,Moonee Ponds,87
Males,Retail Trade,Moonee Ponds,314
Females,Retail Trade,Moonee Ponds,381
Males,Accommodation and Food Services,Moonee Ponds,260
Females,Accommodation and Food Services,Moonee Ponds,206
Males,"Transport, Postal and Warehousing",Moonee Ponds,219
Females,"Transport, Postal and Warehousing",Moonee Ponds,111
Males,Information Media and Telecommunications,Moonee Ponds,117
Females,Information Media and Telecommunications,Moonee Ponds,95
Males,Financial and Insurance Services,Moonee Ponds,224
Females,Financial and Insurance Services,Moonee Ponds,219
Males,"Rental, Hiring and Real Estate Services",Moonee Ponds,74
Females,"Rental, Hiring and Real Estate Services",Moonee Ponds,66
Males,"Professional, Scientific and Technical Services",Moonee Ponds,499
Females,"Professional, Scientific and Technical Services",Moonee Ponds,392
Males,Administrative and Support Services,Moonee Ponds,124
Females,Administrative and Support Services,Moonee Ponds,162
Males,Public Administration and Safety,Moonee Ponds,270
Females,Public Administration and Safety,Moonee Ponds,273
Males,Education and Training,Moonee Ponds,253
Females,Education and Training,Moonee Ponds,568
Males,Health Care and Social Assistance,Moonee Ponds,201
Females,Health Care and Social Assistance,Moonee Ponds,664
Males,Arts and Recreation Services,Moonee Ponds,133
Females,Arts and Recreation Services,Moonee Ponds,77
