Sex,Industry of Employment,Region,Value
Males,Education and Training,Lakes Entrance,63
Females,Education and Training,Lakes Entrance,211
Males,Health Care and Social Assistance,Lakes Entrance,93
Females,Health Care and Social Assistance,Lakes Entrance,396
Males,Arts and Recreation Services,Lakes Entrance,22
Females,Arts and Recreation Services,Lakes Entrance,19
Males,Other Services,Lakes Entrance,64
Females,Other Services,Lakes Entrance,65
Males,Inadequately described and not stated,Lakes Entrance,90
Females,Inadequately described and not stated,Lakes Entrance,58
Males,"Agriculture, Forestry and Fishing",Orbost,311
Females,"Agriculture, Forestry and Fishing",Orbost,124
Males,Mining,Orbost,16
Females,Mining,Orbost,0
Males,Manufacturing,Orbost,85
Females,Manufacturing,Orbost,39
Males,"Electricity, Gas, Water and Waste Services",Orbost,18
Females,"Electricity, Gas, Water and Waste Services",Orbost,0
Males,Construction,Orbost,141
Females,Construction,Orbost,12
Males,Wholesale Trade,Orbost,21
Females,Wholesale Trade,Orbost,9
Males,Retail Trade,Orbost,67
Females,Retail Trade,Orbost,109
Males,Accommodation and Food Services,Orbost,74
Females,Accommodation and Food Services,Orbost,122
Males,"Transport, Postal and Warehousing",Orbost,54
Females,"Transport, Postal and Warehousing",Orbost,27
Males,Information Media and Telecommunications,Orbost,6
Females,Information Media and Telecommunications,Orbost,4
Males,Financial and Insurance Services,Orbost,4
Females,Financial and Insurance Services,Orbost,14
Males,"Rental, Hiring and Real Estate Services",Orbost,8
Females,"Rental, Hiring and Real Estate Services",Orbost,8
Males,"Professional, Scientific and Technical Services",Orbost,18
Females,"Professional, Scientific and Technical Services",Orbost,31
Males,Administrative and Support Services,Orbost,28
Females,Administrative and Support Services,Orbost,38
Males,Public Administration and Safety,Orbost,80
Females,Public Administration and Safety,Orbost,35
Males,Education and Training,Orbost,72
Females,Education and Training,Orbost,182
Males,Health Care and Social Assistance,Orbost,46
Females,Health Care and Social Assistance,Orbost,265
Males,Arts and Recreation Services,Orbost,30
Females,Arts and Recreation Services,Orbost,20
Males,Other Services,Orbost,40
Females,Other Services,Orbost,32
Males,Inadequately described and not stated,Orbost,73
Females,Inadequately described and not stated,Orbost,37
Males,"Agriculture, Forestry and Fishing",Paynesville,64
Females,"Agriculture, Forestry and Fishing",Paynesville,27
Males,Mining,Paynesville,12
Females,Mining,Paynesville,0
Males,Manufacturing,Paynesville,111
Females,Manufacturing,Paynesville,40
Males,"Electricity, Gas, Water and Waste Services",Paynesville,23
Females,"Electricity, Gas, Water and Waste Services",Paynesville,3
Males,Construction,Paynesville,155
Females,Construction,Paynesville,21
Males,Wholesale Trade,Paynesville,29
Females,Wholesale Trade,Paynesville,11
Males,Retail Trade,Paynesville,116
Females,Retail Trade,Paynesville,141
Males,Accommodation and Food Services,Paynesville,69
Females,Accommodation and Food Services,Paynesville,87
Males,"Transport, Postal and Warehousing",Paynesville,70
Females,"Transport, Postal and Warehousing",Paynesville,18
Males,Information Media and Telecommunications,Paynesville,7
Females,Information Media and Telecommunications,Paynesville,5
Males,Financial and Insurance Services,Paynesville,11
Females,Financial and Insurance Services,Paynesville,18
Males,"Rental, Hiring and Real Estate Services",Paynesville,13
Females,"Rental, Hiring and Real Estate Services",Paynesville,18
Males,"Professional, Scientific and Technical Services",Paynesville,42
Females,"Professional, Scientific and Technical Services",Paynesville,49
Males,Administrative and Support Services,Paynesville,25
Females,Administrative and Support Services,Paynesville,22
Males,Public Administration and Safety,Paynesville,61
Females,Public Administration and Safety,Paynesville,59
Males,Education and Training,Paynesville,63
Females,Education and Training,Paynesville,167
Males,Health Care and Social Assistance,Paynesville,65
Females,Health Care and Social Assistance,Paynesville,277
Males,Arts and Recreation Services,Paynesville,20
Females,Arts and Recreation Services,Paynesville,7
Males,Other Services,Paynesville,39
Females,Other Services,Paynesville,34
Males,Inadequately described and not stated,Paynesville,68
Females,Inadequately described and not stated,Paynesville,28
Males,"Agriculture, Forestry and Fishing",Foster,570
Females,"Agriculture, Forestry and Fishing",Foster,293
Males,Mining,Foster,18
Females,Mining,Foster,0
Males,Manufacturing,Foster,102
Females,Manufacturing,Foster,41
Males,"Electricity, Gas, Water and Waste Services",Foster,49
Females,"Electricity, Gas, Water and Waste Services",Foster,30
Males,Construction,Foster,240
Females,Construction,Foster,27
Males,Wholesale Trade,Foster,61
Females,Wholesale Trade,Foster,28
Males,Retail Trade,Foster,108
Females,Retail Trade,Foster,167
Males,Accommodation and Food Services,Foster,88
Females,Accommodation and Food Services,Foster,149
Males,"Transport, Postal and Warehousing",Foster,101
Females,"Transport, Postal and Warehousing",Foster,44
Males,Information Media and Telecommunications,Foster,6
Females,Information Media and Telecommunications,Foster,13
Males,Financial and Insurance Services,Foster,0
Females,Financial and Insurance Services,Foster,28
Males,"Rental, Hiring and Real Estate Services",Foster,15
Females,"Rental, Hiring and Real Estate Services",Foster,20
Males,"Professional, Scientific and Technical Services",Foster,57
Females,"Professional, Scientific and Technical Services",Foster,70
Males,Administrative and Support Services,Foster,52
Females,Administrative and Support Services,Foster,51
Males,Public Administration and Safety,Foster,63
Females,Public Administration and Safety,Foster,65
Males,Education and Training,Foster,53
Females,Education and Training,Foster,171
Males,Health Care and Social Assistance,Foster,40
Females,Health Care and Social Assistance,Foster,315
Males,Arts and Recreation Services,Foster,50
Females,Arts and Recreation Services,Foster,41
Males,Other Services,Foster,68
Females,Other Services,Foster,43
Males,Inadequately described and not stated,Foster,97
Females,Inadequately described and not stated,Foster,62
Males,"Agriculture, Forestry and Fishing",French Island,13
Females,"Agriculture, Forestry and Fishing",French Island,11
Males,Mining,French Island,0
Females,Mining,French Island,0
Males,Manufacturing,French Island,0
Females,Manufacturing,French Island,0
Males,"Electricity, Gas, Water and Waste Services",French Island,0
Females,"Electricity, Gas, Water and Waste Services",French Island,0
Males,Construction,French Island,0
Females,Construction,French Island,0
Males,Wholesale Trade,French Island,0
Females,Wholesale Trade,French Island,0
Males,Retail Trade,French Island,0
Females,Retail Trade,French Island,0
Males,Accommodation and Food Services,French Island,0
Females,Accommodation and Food Services,French Island,0
Males,"Transport, Postal and Warehousing",French Island,0
Females,"Transport, Postal and Warehousing",French Island,3
Males,Information Media and Telecommunications,French Island,0
Females,Information Media and Telecommunications,French Island,0
Males,Financial and Insurance Services,French Island,0
Females,Financial and Insurance Services,French Island,0
Males,"Rental, Hiring and Real Estate Services",French Island,0
Females,"Rental, Hiring and Real Estate Services",French Island,0
Males,"Professional, Scientific and Technical Services",French Island,3
Females,"Professional, Scientific and Technical Services",French Island,3
Males,Administrative and Support Services,French Island,0
Females,Administrative and Support Services,French Island,0
Males,Public Administration and Safety,French Island,0
Females,Public Administration and Safety,French Island,0
Males,Education and Training,French Island,0
Females,Education and Training,French Island,0
Males,Health Care and Social Assistance,French Island,0
Females,Health Care and Social Assistance,French Island,3
Males,Arts and Recreation Services,French Island,0
Females,Arts and Recreation Services,French Island,0
Males,Other Services,French Island,0
Females,Other Services,French Island,0
Males,Inadequately described and not stated,French Island,3
Females,Inadequately described and not stated,French Island,0
Males,"Agriculture, Forestry and Fishing",Korumburra,368
Females,"Agriculture, Forestry and Fishing",Korumburra,214
Males,Mining,Korumburra,37
Females,Mining,Korumburra,4
Males,Manufacturing,Korumburra,284
Females,Manufacturing,Korumburra,120
Males,"Electricity, Gas, Water and Waste Services",Korumburra,30
Females,"Electricity, Gas, Water and Waste Services",Korumburra,5
Males,Construction,Korumburra,372
Females,Construction,Korumburra,54
Males,Wholesale Trade,Korumburra,77
Females,Wholesale Trade,Korumburra,48
Males,Retail Trade,Korumburra,131
Females,Retail Trade,Korumburra,228
Males,Accommodation and Food Services,Korumburra,49
Females,Accommodation and Food Services,Korumburra,140
Males,"Transport, Postal and Warehousing",Korumburra,146
Females,"Transport, Postal and Warehousing",Korumburra,31
Males,Information Media and Telecommunications,Korumburra,17
Females,Information Media and Telecommunications,Korumburra,14
Males,Financial and Insurance Services,Korumburra,17
Females,Financial and Insurance Services,Korumburra,36
Males,"Rental, Hiring and Real Estate Services",Korumburra,22
Females,"Rental, Hiring and Real Estate Services",Korumburra,11
Males,"Professional, Scientific and Technical Services",Korumburra,76
Females,"Professional, Scientific and Technical Services",Korumburra,101
Males,Administrative and Support Services,Korumburra,45
Females,Administrative and Support Services,Korumburra,53
Males,Public Administration and Safety,Korumburra,72
Females,Public Administration and Safety,Korumburra,76
Males,Education and Training,Korumburra,46
Females,Education and Training,Korumburra,208
Males,Health Care and Social Assistance,Korumburra,66
Females,Health Care and Social Assistance,Korumburra,390
Males,Arts and Recreation Services,Korumburra,21
Females,Arts and Recreation Services,Korumburra,34
Males,Other Services,Korumburra,112
Females,Other Services,Korumburra,60
Males,Inadequately described and not stated,Korumburra,132
Females,Inadequately described and not stated,Korumburra,65
Males,"Agriculture, Forestry and Fishing",Leongatha,448
Females,"Agriculture, Forestry and Fishing",Leongatha,238
Males,Mining,Leongatha,31
Females,Mining,Leongatha,6
Males,Manufacturing,Leongatha,266
Females,Manufacturing,Leongatha,91
Males,"Electricity, Gas, Water and Waste Services",Leongatha,92
Females,"Electricity, Gas, Water and Waste Services",Leongatha,12
Males,Construction,Leongatha,409
Females,Construction,Leongatha,48
Males,Wholesale Trade,Leongatha,93
Females,Wholesale Trade,Leongatha,37
Males,Retail Trade,Leongatha,207
Females,Retail Trade,Leongatha,321
Males,Accommodation and Food Services,Leongatha,97
Females,Accommodation and Food Services,Leongatha,149
Males,"Transport, Postal and Warehousing",Leongatha,129
Females,"Transport, Postal and Warehousing",Leongatha,34
Males,Information Media and Telecommunications,Leongatha,24
Females,Information Media and Telecommunications,Leongatha,18
Males,Financial and Insurance Services,Leongatha,30
Females,Financial and Insurance Services,Leongatha,55
Males,"Rental, Hiring and Real Estate Services",Leongatha,21
Females,"Rental, Hiring and Real Estate Services",Leongatha,26
Males,"Professional, Scientific and Technical Services",Leongatha,78
Females,"Professional, Scientific and Technical Services",Leongatha,116
Males,Administrative and Support Services,Leongatha,61
Females,Administrative and Support Services,Leongatha,48
Males,Public Administration and Safety,Leongatha,112
Females,Public Administration and Safety,Leongatha,105
Males,Education and Training,Leongatha,105
Females,Education and Training,Leongatha,280
Males,Health Care and Social Assistance,Leongatha,92
Females,Health Care and Social Assistance,Leongatha,499
Males,Arts and Recreation Services,Leongatha,29
Females,Arts and Recreation Services,Leongatha,24
Males,Other Services,Leongatha,90
Females,Other Services,Leongatha,74
Males,Inadequately described and not stated,Leongatha,121
Females,Inadequately described and not stated,Leongatha,78
Males,"Agriculture, Forestry and Fishing",Phillip Island,57
Females,"Agriculture, Forestry and Fishing",Phillip Island,26
Males,Mining,Phillip Island,24
Females,Mining,Phillip Island,0
Males,Manufacturing,Phillip Island,127
Females,Manufacturing,Phillip Island,43
Males,"Electricity, Gas, Water and Waste Services",Phillip Island,40
Females,"Electricity, Gas, Water and Waste Services",Phillip Island,19
Males,Construction,Phillip Island,496
Females,Construction,Phillip Island,47
Males,Wholesale Trade,Phillip Island,57
Females,Wholesale Trade,Phillip Island,23
Males,Retail Trade,Phillip Island,184
Females,Retail Trade,Phillip Island,273
Males,Accommodation and Food Services,Phillip Island,209
Females,Accommodation and Food Services,Phillip Island,287
Males,"Transport, Postal and Warehousing",Phillip Island,83
Females,"Transport, Postal and Warehousing",Phillip Island,35
Males,Information Media and Telecommunications,Phillip Island,16
Females,Information Media and Telecommunications,Phillip Island,17
Males,Financial and Insurance Services,Phillip Island,12
Females,Financial and Insurance Services,Phillip Island,27
Males,"Rental, Hiring and Real Estate Services",Phillip Island,27
Females,"Rental, Hiring and Real Estate Services",Phillip Island,66
Males,"Professional, Scientific and Technical Services",Phillip Island,90
Females,"Professional, Scientific and Technical Services",Phillip Island,85
Males,Administrative and Support Services,Phillip Island,96
Females,Administrative and Support Services,Phillip Island,92
Males,Public Administration and Safety,Phillip Island,87
Females,Public Administration and Safety,Phillip Island,82
Males,Education and Training,Phillip Island,104
