Sex,Age,Region,Value
Females,0 - 4,Seaford (Vic.),528
Males,0 - 4,Skye - Sandhurst,548
Females,0 - 4,Skye - Sandhurst,552
Males,0 - 4,Dromana,235
Females,0 - 4,Dromana,248
Males,0 - 4,Flinders,116
Females,0 - 4,Flinders,95
Males,0 - 4,Hastings - Somers,662
Females,0 - 4,Hastings - Somers,629
Males,0 - 4,Mornington,624
Females,0 - 4,Mornington,559
Males,0 - 4,Mount Eliza,483
Females,0 - 4,Mount Eliza,452
Males,0 - 4,Mount Martha,567
Females,0 - 4,Mount Martha,522
Males,0 - 4,Point Nepean,399
Females,0 - 4,Point Nepean,425
Males,0 - 4,Rosebud - McCrae,520
Females,0 - 4,Rosebud - McCrae,483
Males,0 - 4,Somerville,532
Females,0 - 4,Somerville,450
Males,0 - 4,Ballarat,3493
Females,0 - 4,Ballarat,3242
Males,0 - 4,Alfredton,431
Females,0 - 4,Alfredton,411
Males,0 - 4,Ballarat,332
Females,0 - 4,Ballarat,278
Males,0 - 4,Ballarat - North,749
Females,0 - 4,Ballarat - North,734
Males,0 - 4,Ballarat - South,848
Females,0 - 4,Ballarat - South,785
Males,0 - 4,Buninyong,222
Females,0 - 4,Buninyong,206
Males,0 - 4,Delacombe,270
Females,0 - 4,Delacombe,210
Males,0 - 4,Smythes Creek,105
Females,0 - 4,Smythes Creek,113
Males,0 - 4,Wendouree - Miners Rest,544
Females,0 - 4,Wendouree - Miners Rest,508
Males,0 - 4,Creswick - Daylesford - Ballan,694
Females,0 - 4,Creswick - Daylesford - Ballan,687
Males,0 - 4,Bacchus Marsh Region,176
Females,0 - 4,Bacchus Marsh Region,159
Males,0 - 4,Creswick - Clunes,197
Females,0 - 4,Creswick - Clunes,191
Males,0 - 4,Daylesford,183
Females,0 - 4,Daylesford,182
Males,0 - 4,Gordon (Vic.),131
Females,0 - 4,Gordon (Vic.),150
Males,0 - 4,Maryborough - Pyrenees,604
Females,0 - 4,Maryborough - Pyrenees,592
Males,0 - 4,Avoca,75
Females,0 - 4,Avoca,66
Males,0 - 4,Beaufort,115
Females,0 - 4,Beaufort,105
Males,0 - 4,Golden Plains - North,119
Females,0 - 4,Golden Plains - North,134
Males,0 - 4,Maryborough (Vic.),197
Females,0 - 4,Maryborough (Vic.),180
Males,0 - 4,Maryborough Region,103
Females,0 - 4,Maryborough Region,113
Males,0 - 4,Bendigo,3157
Females,0 - 4,Bendigo,3015
Males,0 - 4,Bendigo,396
Females,0 - 4,Bendigo,412
Males,0 - 4,California Gully - Eaglehawk,427
Females,0 - 4,California Gully - Eaglehawk,423
Males,0 - 4,East Bendigo - Kennington,370
Females,0 - 4,East Bendigo - Kennington,296
Males,0 - 4,Flora Hill - Spring Gully,252
Females,0 - 4,Flora Hill - Spring Gully,237
Males,0 - 4,Kangaroo Flat - Golden Square,638
