Postcode,active,cases,data_date,Suburb
3649,0,0,30/01/2021,Katamatite
3658,0,7,30/01/2021,Broadford
3659,0,3,30/01/2021,Tallarook
3660,0,2,30/01/2021,Seymour
3662,0,0,30/01/2021,Puckapunyal
3664,0,0,30/01/2021,Avenel
3665,0,0,30/01/2021,Longwood
3666,0,1,30/01/2021,Euroa
3669,0,0,30/01/2021,Violet town
3672,0,3,30/01/2021,Benalla
3673,0,0,30/01/2021,Broken creek
3675,0,0,30/01/2021,Glenrowan
3677,0,2,30/01/2021,Wangaratta
3678,0,0,30/01/2021,Milawa
3682,0,0,30/01/2021,Springhurst
3683,0,0,30/01/2021,Chiltern
3685,0,1,30/01/2021,Rutherglen
3687,0,0,30/01/2021,Wahgunyah
3688,0,0,30/01/2021,Indigo valley
3690,0,1,30/01/2021,Wodonga
3691,0,1,30/01/2021,Osbornes flat
3694,0,0,30/01/2021,Bandiana milpo
3695,0,0,30/01/2021,Huon
3697,0,0,30/01/2021,Tawonga
3699,0,0,30/01/2021,Mount beauty
3700,0,0,30/01/2021,Tallangatta
3701,0,0,30/01/2021,Mitta mitta
3709,0,0,30/01/2021,Walwa
3711,0,0,30/01/2021,Buxton
3713,0,0,30/01/2021,Eildon
3714,0,0,30/01/2021,Alexandra
3717,0,3,30/01/2021,Yea
3723,0,5,30/01/2021,Jamieson
3726,0,0,30/01/2021,Devenish
3728,0,0,30/01/2021,Tungamah
3730,0,4,30/01/2021,Yarrawonga
3732,0,0,30/01/2021,Moyhu
3733,0,0,30/01/2021,Whitfield
3735,0,0,30/01/2021,Whorouly
3737,0,0,30/01/2021,Myrtleford
3740,0,0,30/01/2021,Porepunkah
3741,0,1,30/01/2021,Bright
3747,0,0,30/01/2021,Beechworth
3749,0,0,30/01/2021,Yackandandah
3750,0,144,30/01/2021,Wollert
3752,0,117,30/01/2021,South morang
3753,0,17,30/01/2021,Beveridge
3754,0,175,30/01/2021,Mernda
3756,0,35,30/01/2021,Wallan
3757,0,11,30/01/2021,Whittlesea
3758,0,3,30/01/2021,Wandong
3759,0,1,30/01/2021,Panton hill
3761,0,2,30/01/2021,St andrews
3763,0,4,30/01/2021,Kinglake
3764,0,22,30/01/2021,Kilmore
3765,0,12,30/01/2021,Montrose
3766,0,1,30/01/2021,Kalorama
3770,0,2,30/01/2021,Coldstream
3775,0,6,30/01/2021,Yarra glen
3777,0,9,30/01/2021,Healesville
3779,0,0,30/01/2021,Marysville
3781,0,2,30/01/2021,Cockatoo
3782,0,2,30/01/2021,Emerald
3783,0,3,30/01/2021,Gembrook
3786,0,2,30/01/2021,Ferny creek
3787,0,0,30/01/2021,Sassafras
3788,0,0,30/01/2021,Olinda
3791,0,1,30/01/2021,Kallista
3792,0,0,30/01/2021,The patch
3793,0,1,30/01/2021,Monbulk
3795,0,1,30/01/2021,Silvan
3796,0,4,30/01/2021,Mount evelyn
3797,0,3,30/01/2021,Yarra junction
3799,0,3,30/01/2021,Warburton
3800,0,0,30/01/2021,Monash university
